rank,rank_score,input_value,borrow_ratio,repay_ratio,liquidity_offset,borrow_offset,supplied_capital,shares_received,borrowed_capital,debt_shares_minted,repaid_capital,debt_shares_burned,withdrawn_capital,phantom_debt_shares,phantom_debt_value,final_output,delta,loss_ratio_ppm,signature,reason
1,295010106,100000000,99/100,1/100,191,174,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
2,295010106,100000000,99/100,1/100,411,372,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
3,295010106,100000000,99/100,1/100,242,374,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
4,295010106,100000000,99/100,1/100,73,183,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
5,295010106,100000000,99/100,1/100,391,381,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
6,295010106,100000000,99/100,1/100,223,190,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
7,295010106,100000000,99/100,1/100,57,192,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
8,295010106,100000000,99/100,1/100,282,390,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
9,295010106,100000000,99/100,1/100,223,199,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
10,295010106,100000000,99/100,1/100,478,397,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
11,295010106,100000000,99/100,1/100,364,206,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
12,295010106,100000000,99/100,1/100,326,208,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
13,295010106,100000000,99/100,1/100,801,406,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
14,295010106,100000000,99/100,1/100,1240,215,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
15,295010106,100000000,99/100,1/100,4531,413,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
16,295010106,100000000,99/100,1/100,8457,415,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
17,295010106,100000000,99/100,1/100,96,225,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
18,295010106,100000000,99/100,1/100,413,423,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
19,295010106,100000000,99/100,1/100,244,232,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
20,295010106,100000000,99/100,1/100,75,41,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
21,295010106,100000000,99/100,1/100,296,432,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
22,295010106,100000000,99/100,1/100,225,241,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
23,295010106,100000000,99/100,1/100,448,439,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
24,295010106,100000000,99/100,1/100,284,248,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
25,295010106,100000000,99/100,1/100,128,250,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
26,295010106,100000000,99/100,1/100,383,448,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
27,295010106,100000000,99/100,1/100,366,257,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
28,295010106,100000000,99/100,1/100,328,66,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
29,295010106,100000000,99/100,1/100,803,264,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
30,295010106,100000000,99/100,1/100,1145,266,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
31,295010106,100000000,99/100,1/100,4533,464,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
32,295010106,100000000,99/100,1/100,8459,273,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
33,295010106,100000000,99/100,1/100,98,83,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
34,295010106,100000000,99/100,1/100,318,474,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
35,295010106,100000000,99/100,1/100,149,283,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
36,295010106,100000000,99/100,1/100,466,481,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
37,295010106,100000000,99/100,1/100,298,290,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
38,295010106,100000000,99/100,1/100,130,99,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
39,295010106,100000000,99/100,1/100,353,490,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
40,295010106,100000000,99/100,1/100,286,299,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
41,295010106,100000000,99/100,1/100,130,108,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
42,295010106,100000000,99/100,1/100,385,306,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
43,295010106,100000000,99/100,1/100,271,308,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
44,295010106,100000000,99/100,1/100,719,506,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
45,295010106,100000000,99/100,1/100,805,315,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
46,295010106,100000000,99/100,1/100,1147,124,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
47,295010106,100000000,99/100,1/100,4438,322,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
48,295010106,100000000,99/100,1/100,8364,324,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
49,295010106,100000000,99/100,1/100,100,134,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
