rank,rank_score,input_value,borrow_ratio,repay_ratio,liquidity_offset,borrow_offset,supplied_capital,shares_received,borrowed_capital,debt_shares_minted,repaid_capital,debt_shares_burned,withdrawn_capital,phantom_debt_shares,phantom_debt_value,final_output,delta,loss_ratio_ppm,signature,reason
50,295010106,100000000,99/100,1/100,320,332,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
51,295010106,100000000,99/100,1/100,151,141,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
52,295010106,100000000,99/100,1/100,371,532,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
53,295010106,100000000,99/100,1/100,300,341,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
54,295010106,100000000,99/100,1/100,132,150,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
55,295010106,100000000,99/100,1/100,355,348,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
56,295010106,100000000,99/100,1/100,191,157,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
57,295010106,100000000,99/100,1/100,35,159,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
58,295010106,100000000,99/100,1/100,387,357,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
59,295010106,100000000,99/100,1/100,273,166,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
60,295010106,100000000,99/100,1/100,624,364,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
61,295010106,100000000,99/100,1/100,710,366,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
62,295010106,100000000,99/100,1/100,1149,175,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
63,295010106,100000000,99/100,1/100,4440,373,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
64,295010106,100000000,99/100,1/100,8366,182,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
65,295010106,100000000,99/100,1/100,394,382,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
66,295010106,100000000,99/100,1/100,322,384,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
67,295010106,100000000,99/100,1/100,153,193,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
68,295010106,100000000,99/100,1/100,373,391,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
69,295010106,100000000,99/100,1/100,205,200,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
70,295010106,100000000,99/100,1/100,37,202,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
71,295010106,100000000,99/100,1/100,357,400,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
72,295010106,100000000,99/100,1/100,193,209,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
73,295010106,100000000,99/100,1/100,426,407,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
74,295010106,100000000,99/100,1/100,292,216,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
75,295010106,100000000,99/100,1/100,275,218,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
76,295010106,100000000,99/100,1/100,626,416,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
77,295010106,100000000,99/100,1/100,712,225,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
78,295010106,100000000,99/100,1/100,1054,34,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
79,295010106,100000000,99/100,1/100,4345,425,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
80,295010106,100000000,99/100,1/100,8368,234,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
81,295010106,100000000,99/100,1/100,396,434,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
82,295010106,100000000,99/100,1/100,227,243,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
83,295010106,100000000,99/100,1/100,58,52,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
84,295010106,100000000,99/100,1/100,375,443,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
85,295010106,100000000,99/100,1/100,207,252,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
86,295010106,100000000,99/100,1/100,428,450,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
87,295010106,100000000,99/100,1/100,262,259,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
88,295010106,100000000,99/100,1/100,195,261,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
89,295010106,100000000,99/100,1/100,428,459,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
90,295010106,100000000,99/100,1/100,294,268,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
91,295010106,100000000,99/100,1/100,180,77,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
92,295010106,100000000,99/100,1/100,531,275,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
93,295010106,100000000,99/100,1/100,714,277,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
94,295010106,100000000,99/100,1/100,1445,475,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
95,295010106,100000000,99/100,1/100,4347,284,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
96,295010106,100000000,99/100,1/100,8273,93,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
97,295010106,100000000,99/100,1/100,398,488,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
98,295010106,100000000,99/100,1/100,229,297,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
99,295010106,100000000,99/100,1/100,60,106,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
100,295010106,100000000,99/100,1/100,280,304,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
