rank,signature,count,best_rank_score,best_input_value,best_delta,best_loss_ratio_ppm,best_phantom_debt_value,example_borrow_ratio,example_repay_ratio
1,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,3334,295010106,100000000,-98010003,980100,98010002,99/100,1/100
2,borrow=19/20|repay=1/100|delta_bucket=94050|phantom_bucket=94050|loss_bucket=94|debt_residue=yes,3334,283090506,100000000,-94050003,940500,94050002,19/20,1/100
3,borrow=99/100|repay=1/20|delta_bucket=94050|phantom_bucket=94050|loss_bucket=94|debt_residue=yes,3334,283090506,100000000,-94050003,940500,94050002,99/100,1/20
4,borrow=19/20|repay=1/20|delta_bucket=90250|phantom_bucket=90250|loss_bucket=90|debt_residue=yes,3334,271652506,100000000,-90250003,902500,90250002,19/20,1/20
5,borrow=9/10|repay=1/100|delta_bucket=89100|phantom_bucket=89100|loss_bucket=89|debt_residue=yes,3334,268191006,100000000,-89100003,891000,89100002,9/10,1/100
6,borrow=99/100|repay=1/10|delta_bucket=89100|phantom_bucket=89100|loss_bucket=89|debt_residue=yes,3334,268191006,100000000,-89100003,891000,89100002,99/100,1/10
7,borrow=9/10|repay=1/20|delta_bucket=85500|phantom_bucket=85500|loss_bucket=85|debt_residue=yes,3334,257355006,100000000,-85500003,855000,85500002,9/10,1/20
8,borrow=19/20|repay=1/10|delta_bucket=85500|phantom_bucket=85500|loss_bucket=85|debt_residue=yes,3334,257355006,100000000,-85500003,855000,85500002,19/20,1/10
9,borrow=9/10|repay=1/10|delta_bucket=81000|phantom_bucket=81000|loss_bucket=81|debt_residue=yes,3334,243810006,100000000,-81000003,810000,81000002,9/10,1/10
10,borrow=4/5|repay=1/100|delta_bucket=79200|phantom_bucket=79200|loss_bucket=79|debt_residue=yes,3334,238392006,100000000,-79200003,792000,79200002,4/5,1/100
11,borrow=4/5|repay=1/20|delta_bucket=76000|phantom_bucket=76000|loss_bucket=76|debt_residue=yes,3334,228760006,100000000,-76000003,760000,76000002,4/5,1/20
12,borrow=3/4|repay=1/100|delta_bucket=74250|phantom_bucket=74250|loss_bucket=74|debt_residue=yes,3334,223492506,100000000,-74250003,742500,74250002,3/4,1/100
13,borrow=99/100|repay=1/4|delta_bucket=74250|phantom_bucket=74250|loss_bucket=74|debt_residue=yes,3333,223492506,100000000,-74250003,742500,74250002,99/100,1/4
14,borrow=4/5|repay=1/10|delta_bucket=72000|phantom_bucket=72000|loss_bucket=72|debt_residue=yes,3334,216720006,100000000,-72000003,720000,72000002,4/5,1/10
15,borrow=3/4|repay=1/20|delta_bucket=71250|phantom_bucket=71250|loss_bucket=71|debt_residue=yes,3334,214462506,100000000,-71250003,712500,71250002,3/4,1/20
16,borrow=19/20|repay=1/4|delta_bucket=71250|phantom_bucket=71250|loss_bucket=71|debt_residue=yes,3333,214462506,100000000,-71250003,712500,71250002,19/20,1/4
17,borrow=3/4|repay=1/10|delta_bucket=67500|phantom_bucket=67500|loss_bucket=67|debt_residue=yes,3334,203175006,100000000,-67500003,675000,67500002,3/4,1/10
18,borrow=9/10|repay=1/4|delta_bucket=67500|phantom_bucket=67500|loss_bucket=67|debt_residue=yes,3333,203175006,100000000,-67500003,675000,67500002,9/10,1/4
19,borrow=2/3|repay=1/100|delta_bucket=66000|phantom_bucket=66000|loss_bucket=66|debt_residue=yes,3334,198660006,100000000,-66000003,660000,66000002,2/3,1/100
20,borrow=99/100|repay=1/3|delta_bucket=66000|phantom_bucket=66000|loss_bucket=66|debt_residue=yes,3333,198660006,100000000,-66000003,660000,66000002,99/100,1/3
21,borrow=19/20|repay=1/3|delta_bucket=63333|phantom_bucket=63333|loss_bucket=63|debt_residue=yes,3333,190633341,100000000,-63333337,633333,63333336,19/20,1/3
22,borrow=2/3|repay=1/20|delta_bucket=63333|phantom_bucket=63333|loss_bucket=63|debt_residue=yes,3334,190633338,100000000,-63333336,633333,63333335,2/3,1/20
23,borrow=2/3|repay=1/10|delta_bucket=60000|phantom_bucket=60000|loss_bucket=60|debt_residue=yes,3334,180600006,100000000,-60000003,600000,60000002,2/3,1/10
24,borrow=4/5|repay=1/4|delta_bucket=60000|phantom_bucket=60000|loss_bucket=60|debt_residue=yes,3333,180600006,100000000,-60000003,600000,60000002,4/5,1/4
25,borrow=9/10|repay=1/3|delta_bucket=60000|phantom_bucket=60000|loss_bucket=60|debt_residue=yes,3333,180600006,100000000,-60000003,600000,60000002,9/10,1/3
26,borrow=3/4|repay=1/4|delta_bucket=56250|phantom_bucket=56250|loss_bucket=56|debt_residue=yes,3333,169312506,100000000,-56250003,562500,56250002,3/4,1/4
27,borrow=4/5|repay=1/3|delta_bucket=53333|phantom_bucket=53333|loss_bucket=53|debt_residue=yes,3333,160533341,100000000,-53333337,533333,53333336,4/5,1/3
28,borrow=2/3|repay=1/4|delta_bucket=50000|phantom_bucket=50000|loss_bucket=50|debt_residue=yes,3333,150500006,100000000,-50000003,500000,50000002,2/3,1/4
29,borrow=3/4|repay=1/3|delta_bucket=50000|phantom_bucket=50000|loss_bucket=50|debt_residue=yes,3333,150500006,100000000,-50000003,500000,50000002,3/4,1/3
30,borrow=1/2|repay=1/100|delta_bucket=49500|phantom_bucket=49500|loss_bucket=49|debt_residue=yes,3334,148995006,100000000,-49500003,495000,49500002,1/2,1/100
31,borrow=99/100|repay=1/2|delta_bucket=49500|phantom_bucket=49500|loss_bucket=49|debt_residue=yes,3333,148995006,100000000,-49500003,495000,49500002,99/100,1/2
32,borrow=99/100|repay=1/100|delta_bucket=49005|phantom_bucket=49005|loss_bucket=98|debt_residue=yes,3334,147995106,50000000,-49005003,980100,49005002,99/100,1/100
33,borrow=1/2|repay=1/20|delta_bucket=47500|phantom_bucket=47500|loss_bucket=47|debt_residue=yes,3334,142975006,100000000,-47500003,475000,47500002,1/2,1/20
34,borrow=19/20|repay=1/2|delta_bucket=47500|phantom_bucket=47500|loss_bucket=47|debt_residue=yes,3333,142975006,100000000,-47500003,475000,47500002,19/20,1/2
35,borrow=19/20|repay=1/100|delta_bucket=47025|phantom_bucket=47025|loss_bucket=94|debt_residue=yes,3334,142015506,50000000,-47025003,940500,47025002,19/20,1/100
36,borrow=99/100|repay=1/20|delta_bucket=47025|phantom_bucket=47025|loss_bucket=94|debt_residue=yes,3334,142015506,50000000,-47025003,940500,47025002,99/100,1/20
37,borrow=19/20|repay=1/20|delta_bucket=45125|phantom_bucket=45125|loss_bucket=90|debt_residue=yes,3334,136277506,50000000,-45125003,902500,45125002,19/20,1/20
38,borrow=1/2|repay=1/10|delta_bucket=45000|phantom_bucket=45000|loss_bucket=45|debt_residue=yes,3334,135450006,100000000,-45000003,450000,45000002,1/2,1/10
39,borrow=9/10|repay=1/2|delta_bucket=45000|phantom_bucket=45000|loss_bucket=45|debt_residue=yes,3333,135450006,100000000,-45000003,450000,45000002,9/10,1/2
40,borrow=9/10|repay=1/100|delta_bucket=44550|phantom_bucket=44550|loss_bucket=89|debt_residue=yes,3334,134541006,50000000,-44550003,891000,44550002,9/10,1/100
41,borrow=99/100|repay=1/10|delta_bucket=44550|phantom_bucket=44550|loss_bucket=89|debt_residue=yes,3334,134541006,50000000,-44550003,891000,44550002,99/100,1/10
42,borrow=2/3|repay=1/3|delta_bucket=44444|phantom_bucket=44444|loss_bucket=44|debt_residue=yes,3333,133777782,100000000,-44444447,444444,44444446,2/3,1/3
43,borrow=9/10|repay=1/20|delta_bucket=42750|phantom_bucket=42750|loss_bucket=85|debt_residue=yes,3334,129105006,50000000,-42750003,855000,42750002,9/10,1/20
44,borrow=19/20|repay=1/10|delta_bucket=42750|phantom_bucket=42750|loss_bucket=85|debt_residue=yes,3334,129105006,50000000,-42750003,855000,42750002,19/20,1/10
45,borrow=9/10|repay=1/10|delta_bucket=40500|phantom_bucket=40500|loss_bucket=81|debt_residue=yes,3334,122310006,50000000,-40500003,810000,40500002,9/10,1/10
46,borrow=4/5|repay=1/2|delta_bucket=40000|phantom_bucket=40000|loss_bucket=40|debt_residue=yes,3333,120400006,100000000,-40000003,400000,40000002,4/5,1/2
47,borrow=4/5|repay=1/100|delta_bucket=39600|phantom_bucket=39600|loss_bucket=79|debt_residue=yes,3334,119592006,50000000,-39600003,792000,39600002,4/5,1/100
48,borrow=4/5|repay=1/20|delta_bucket=38000|phantom_bucket=38000|loss_bucket=76|debt_residue=yes,3334,114760006,50000000,-38000003,760000,38000002,4/5,1/20
49,borrow=1/2|repay=1/4|delta_bucket=37500|phantom_bucket=37500|loss_bucket=37|debt_residue=yes,3333,112875006,100000000,-37500003,375000,37500002,1/2,1/4
50,borrow=3/4|repay=1/2|delta_bucket=37500|phantom_bucket=37500|loss_bucket=37|debt_residue=yes,3333,112875006,100000000,-37500003,375000,37500002,3/4,1/2
51,borrow=3/4|repay=1/100|delta_bucket=37125|phantom_bucket=37125|loss_bucket=74|debt_residue=yes,3334,112117506,50000000,-37125003,742500,37125002,3/4,1/100
52,borrow=99/100|repay=1/4|delta_bucket=37125|phantom_bucket=37125|loss_bucket=74|debt_residue=yes,3333,112117506,50000000,-37125003,742500,37125002,99/100,1/4
53,borrow=4/5|repay=1/10|delta_bucket=36000|phantom_bucket=36000|loss_bucket=72|debt_residue=yes,3334,108720006,50000000,-36000003,720000,36000002,4/5,1/10
54,borrow=3/4|repay=1/20|delta_bucket=35625|phantom_bucket=35625|loss_bucket=71|debt_residue=yes,3334,107587506,50000000,-35625003,712500,35625002,3/4,1/20
55,borrow=19/20|repay=1/4|delta_bucket=35625|phantom_bucket=35625|loss_bucket=71|debt_residue=yes,3333,107587506,50000000,-35625003,712500,35625002,19/20,1/4
56,borrow=3/4|repay=1/10|delta_bucket=33750|phantom_bucket=33750|loss_bucket=67|debt_residue=yes,3334,101925006,50000000,-33750003,675000,33750002,3/4,1/10
57,borrow=9/10|repay=1/4|delta_bucket=33750|phantom_bucket=33750|loss_bucket=67|debt_residue=yes,3333,101925006,50000000,-33750003,675000,33750002,9/10,1/4
58,borrow=1/2|repay=1/3|delta_bucket=33333|phantom_bucket=33333|loss_bucket=33|debt_residue=yes,3333,100333341,100000000,-33333337,333333,33333336,1/2,1/3
59,borrow=2/3|repay=1/2|delta_bucket=33333|phantom_bucket=33333|loss_bucket=33|debt_residue=yes,3333,100333338,100000000,-33333336,333333,33333335,2/3,1/2
60,borrow=2/3|repay=1/100|delta_bucket=33000|phantom_bucket=33000|loss_bucket=66|debt_residue=yes,3334,99660006,50000000,-33000003,660000,33000002,2/3,1/100
61,borrow=99/100|repay=1/3|delta_bucket=33000|phantom_bucket=33000|loss_bucket=66|debt_residue=yes,3333,99660006,50000000,-33000003,660000,33000002,99/100,1/3
62,borrow=1/3|repay=1/100|delta_bucket=33000|phantom_bucket=33000|loss_bucket=33|debt_residue=yes,3334,99330006,100000000,-33000003,330000,33000002,1/3,1/100
63,borrow=99/100|repay=2/3|delta_bucket=33000|phantom_bucket=33000|loss_bucket=33|debt_residue=yes,3333,99330006,100000000,-33000003,330000,33000002,99/100,2/3
64,borrow=2/3|repay=1/20|delta_bucket=31666|phantom_bucket=31666|loss_bucket=63|debt_residue=yes,3334,95633340,50000000,-31666670,633333,31666669,2/3,1/20
65,borrow=19/20|repay=1/3|delta_bucket=31666|phantom_bucket=31666|loss_bucket=63|debt_residue=yes,3333,95633340,50000000,-31666670,633333,31666669,19/20,1/3
66,borrow=1/3|repay=1/20|delta_bucket=31666|phantom_bucket=31666|loss_bucket=31|debt_residue=yes,3334,95316673,100000000,-31666670,316666,31666669,1/3,1/20
67,borrow=19/20|repay=2/3|delta_bucket=31666|phantom_bucket=31666|loss_bucket=31|debt_residue=yes,3333,95316673,100000000,-31666670,316666,31666669,19/20,2/3
68,borrow=2/3|repay=1/10|delta_bucket=30000|phantom_bucket=30000|loss_bucket=60|debt_residue=yes,3334,90600006,50000000,-30000003,600000,30000002,2/3,1/10
69,borrow=4/5|repay=1/4|delta_bucket=30000|phantom_bucket=30000|loss_bucket=60|debt_residue=yes,3333,90600006,50000000,-30000003,600000,30000002,4/5,1/4
70,borrow=9/10|repay=1/3|delta_bucket=30000|phantom_bucket=30000|loss_bucket=60|debt_residue=yes,3333,90600006,50000000,-30000003,600000,30000002,9/10,1/3
71,borrow=1/3|repay=1/10|delta_bucket=30000|phantom_bucket=30000|loss_bucket=30|debt_residue=yes,3334,90300006,100000000,-30000003,300000,30000002,1/3,1/10
72,borrow=9/10|repay=2/3|delta_bucket=30000|phantom_bucket=30000|loss_bucket=30|debt_residue=yes,3333,90300006,100000000,-30000003,300000,30000002,9/10,2/3
73,borrow=3/4|repay=1/4|delta_bucket=28125|phantom_bucket=28125|loss_bucket=56|debt_residue=yes,3333,84937506,50000000,-28125003,562500,28125002,3/4,1/4
74,borrow=4/5|repay=1/3|delta_bucket=26666|phantom_bucket=26666|loss_bucket=53|debt_residue=yes,3333,80533340,50000000,-26666670,533333,26666669,4/5,1/3
75,borrow=4/5|repay=2/3|delta_bucket=26666|phantom_bucket=26666|loss_bucket=26|debt_residue=yes,3333,80266673,100000000,-26666670,266666,26666669,4/5,2/3
76,borrow=2/3|repay=1/4|delta_bucket=25000|phantom_bucket=25000|loss_bucket=50|debt_residue=yes,3333,75500006,50000000,-25000003,500000,25000002,2/3,1/4
77,borrow=3/4|repay=1/3|delta_bucket=25000|phantom_bucket=25000|loss_bucket=50|debt_residue=yes,3333,75500006,50000000,-25000003,500000,25000002,3/4,1/3
78,borrow=1/3|repay=1/4|delta_bucket=25000|phantom_bucket=25000|loss_bucket=25|debt_residue=yes,3334,75250006,100000000,-25000003,250000,25000002,1/3,1/4
79,borrow=1/2|repay=1/2|delta_bucket=25000|phantom_bucket=25000|loss_bucket=25|debt_residue=yes,3333,75250006,100000000,-25000003,250000,25000002,1/2,1/2
80,borrow=3/4|repay=2/3|delta_bucket=25000|phantom_bucket=25000|loss_bucket=25|debt_residue=yes,3333,75250006,100000000,-25000003,250000,25000002,3/4,2/3
81,borrow=1/2|repay=1/100|delta_bucket=24750|phantom_bucket=24750|loss_bucket=49|debt_residue=yes,3334,74745006,50000000,-24750003,495000,24750002,1/2,1/100
82,borrow=99/100|repay=1/2|delta_bucket=24750|phantom_bucket=24750|loss_bucket=49|debt_residue=yes,3333,74745006,50000000,-24750003,495000,24750002,99/100,1/2
83,borrow=1/4|repay=1/100|delta_bucket=24750|phantom_bucket=24750|loss_bucket=24|debt_residue=yes,3334,74497506,100000000,-24750003,247500,24750002,1/4,1/100
84,borrow=99/100|repay=3/4|delta_bucket=24750|phantom_bucket=24750|loss_bucket=24|debt_residue=yes,3333,74497506,100000000,-24750003,247500,24750002,99/100,3/4
85,borrow=99/100|repay=1/100|delta_bucket=24502|phantom_bucket=24502|loss_bucket=98|debt_residue=yes,3334,74487606,25000000,-24502503,980100,24502502,99/100,1/100
86,borrow=1/2|repay=1/20|delta_bucket=23750|phantom_bucket=23750|loss_bucket=47|debt_residue=yes,3334,71725006,50000000,-23750003,475000,23750002,1/2,1/20
87,borrow=19/20|repay=1/2|delta_bucket=23750|phantom_bucket=23750|loss_bucket=47|debt_residue=yes,3333,71725006,50000000,-23750003,475000,23750002,19/20,1/2
88,borrow=1/4|repay=1/20|delta_bucket=23750|phantom_bucket=23750|loss_bucket=23|debt_residue=yes,3334,71487506,100000000,-23750003,237500,23750002,1/4,1/20
89,borrow=19/20|repay=3/4|delta_bucket=23750|phantom_bucket=23750|loss_bucket=23|debt_residue=yes,3333,71487506,100000000,-23750003,237500,23750002,19/20,3/4
90,borrow=19/20|repay=1/100|delta_bucket=23512|phantom_bucket=23512|loss_bucket=94|debt_residue=yes,3334,71478006,25000000,-23512503,940500,23512502,19/20,1/100
91,borrow=99/100|repay=1/20|delta_bucket=23512|phantom_bucket=23512|loss_bucket=94|debt_residue=yes,3334,71478006,25000000,-23512503,940500,23512502,99/100,1/20
92,borrow=19/20|repay=1/20|delta_bucket=22562|phantom_bucket=22562|loss_bucket=90|debt_residue=yes,3334,68590006,25000000,-22562503,902500,22562502,19/20,1/20
93,borrow=1/2|repay=1/10|delta_bucket=22500|phantom_bucket=22500|loss_bucket=45|debt_residue=yes,3334,67950006,50000000,-22500003,450000,22500002,1/2,1/10
94,borrow=9/10|repay=1/2|delta_bucket=22500|phantom_bucket=22500|loss_bucket=45|debt_residue=yes,3333,67950006,50000000,-22500003,450000,22500002,9/10,1/2
95,borrow=1/4|repay=1/10|delta_bucket=22500|phantom_bucket=22500|loss_bucket=22|debt_residue=yes,3334,67725006,100000000,-22500003,225000,22500002,1/4,1/10
96,borrow=9/10|repay=3/4|delta_bucket=22500|phantom_bucket=22500|loss_bucket=22|debt_residue=yes,3333,67725006,100000000,-22500003,225000,22500002,9/10,3/4
97,borrow=9/10|repay=1/100|delta_bucket=22275|phantom_bucket=22275|loss_bucket=89|debt_residue=yes,3334,67716006,25000000,-22275003,891000,22275002,9/10,1/100
98,borrow=99/100|repay=1/10|delta_bucket=22275|phantom_bucket=22275|loss_bucket=89|debt_residue=yes,3334,67716006,25000000,-22275003,891000,22275002,99/100,1/10
99,borrow=2/3|repay=1/3|delta_bucket=22222|phantom_bucket=22222|loss_bucket=44|debt_residue=yes,3333,67111116,50000000,-22222225,444444,22222224,2/3,1/3
100,borrow=1/3|repay=1/3|delta_bucket=22222|phantom_bucket=22222|loss_bucket=22|debt_residue=yes,3333,66888894,100000000,-22222225,222222,22222224,1/3,1/3
