rank,rank_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,reset_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived,collapsed,neutralized,reason
1,99001000003,1000000,1/2,1/100,1000,100,1,1,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
2,99001000003,1000000,1/2,1/100,1000,100,31,67,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
3,99001000003,1000000,1/2,1/100,1000,100,123,456,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
4,99001000003,1000000,1/2,1/100,1000,100,8191,8191,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
5,99000894999,1000000,1/2,1/100,1000,100,1,1,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
6,99000894999,1000000,1/2,1/100,1000,100,31,67,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
7,99000894999,1000000,1/2,1/100,1000,100,123,456,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
8,99000894999,1000000,1/2,1/100,1000,100,8191,8191,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
9,99000600001,1000000,1/2,1/100,1000,100,1,1,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
10,99000600001,1000000,1/2,1/100,1000,100,31,67,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
11,99000600001,1000000,1/2,1/100,1000,100,123,456,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
12,99000600001,1000000,1/2,1/100,1000,100,8191,8191,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
13,95001000003,1000000,1/2,1/20,1000,100,1,1,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
14,95001000003,1000000,1/2,1/20,1000,100,31,67,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
15,95001000003,1000000,1/2,1/20,1000,100,123,456,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
16,95001000003,1000000,1/2,1/20,1000,100,8191,8191,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
17,95000874999,1000000,1/2,1/20,1000,100,1,1,none,100000000000,50000000000,2500000000,99999900000,47500100000,47500200000,47499900000,300000,474999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
18,95000874999,1000000,1/2,1/20,1000,100,31,67,none,100000000000,50000000000,2500000000,99999900000,47500100000,47500200000,47499900000,300000,474999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
19,95000874999,1000000,1/2,1/20,1000,100,123,456,none,100000000000,50000000000,2500000000,99999900000,47500100000,47500200000,47499900000,300000,474999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
20,95000874999,1000000,1/2,1/20,1000,100,8191,8191,none,100000000000,50000000000,2500000000,99999900000,47500100000,47500200000,47499900000,300000,474999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
21,95000600001,1000000,1/2,1/20,1000,100,1,1,repay_normalization,100000000000,50000000000,50000000000,99999900000,47500100000,47500200000,-100000,47500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
22,95000600001,1000000,1/2,1/20,1000,100,31,67,repay_normalization,100000000000,50000000000,50000000000,99999900000,47500100000,47500200000,-100000,47500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
23,95000600001,1000000,1/2,1/20,1000,100,123,456,repay_normalization,100000000000,50000000000,50000000000,99999900000,47500100000,47500200000,-100000,47500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
24,95000600001,1000000,1/2,1/20,1000,100,8191,8191,repay_normalization,100000000000,50000000000,50000000000,99999900000,47500100000,47500200000,-100000,47500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
25,90001000003,1000000,1/2,1/10,1000,100,1,1,withdraw_normalization,100000000000,50000000000,5000000000,54999700000,45000100000,45000200000,-300000,45000500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
26,90001000003,1000000,1/2,1/10,1000,100,31,67,withdraw_normalization,100000000000,50000000000,5000000000,54999700000,45000100000,45000200000,-300000,45000500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
27,90001000003,1000000,1/2,1/10,1000,100,123,456,withdraw_normalization,100000000000,50000000000,5000000000,54999700000,45000100000,45000200000,-300000,45000500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
28,90001000003,1000000,1/2,1/10,1000,100,8191,8191,withdraw_normalization,100000000000,50000000000,5000000000,54999700000,45000100000,45000200000,-300000,45000500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
29,90000849999,1000000,1/2,1/10,1000,100,1,1,none,100000000000,50000000000,5000000000,99999900000,45000100000,45000200000,44999900000,300000,449999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
30,90000849999,1000000,1/2,1/10,1000,100,31,67,none,100000000000,50000000000,5000000000,99999900000,45000100000,45000200000,44999900000,300000,449999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
31,90000849999,1000000,1/2,1/10,1000,100,123,456,none,100000000000,50000000000,5000000000,99999900000,45000100000,45000200000,44999900000,300000,449999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
32,90000849999,1000000,1/2,1/10,1000,100,8191,8191,none,100000000000,50000000000,5000000000,99999900000,45000100000,45000200000,44999900000,300000,449999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
33,90000600001,1000000,1/2,1/10,1000,100,1,1,repay_normalization,100000000000,50000000000,50000000000,99999900000,45000100000,45000200000,-100000,45000300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
34,90000600001,1000000,1/2,1/10,1000,100,31,67,repay_normalization,100000000000,50000000000,50000000000,99999900000,45000100000,45000200000,-100000,45000300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
35,90000600001,1000000,1/2,1/10,1000,100,123,456,repay_normalization,100000000000,50000000000,50000000000,99999900000,45000100000,45000200000,-100000,45000300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
36,90000600001,1000000,1/2,1/10,1000,100,8191,8191,repay_normalization,100000000000,50000000000,50000000000,99999900000,45000100000,45000200000,-100000,45000300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
37,49501000003,1000000,1/4,1/100,1000,100,1,1,withdraw_normalization,100000000000,25000000000,250000000,75249700000,24750100000,24750200000,-300000,24750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
38,49501000003,1000000,1/4,1/100,1000,100,31,67,withdraw_normalization,100000000000,25000000000,250000000,75249700000,24750100000,24750200000,-300000,24750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
39,49501000003,1000000,1/4,1/100,1000,100,123,456,withdraw_normalization,100000000000,25000000000,250000000,75249700000,24750100000,24750200000,-300000,24750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
40,49501000003,1000000,1/4,1/100,1000,100,8191,8191,withdraw_normalization,100000000000,25000000000,250000000,75249700000,24750100000,24750200000,-300000,24750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
41,49500647499,1000000,1/4,1/100,1000,100,1,1,none,100000000000,25000000000,250000000,99999900000,24750100000,24750200000,24749900000,300000,247499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
42,49500647499,1000000,1/4,1/100,1000,100,31,67,none,100000000000,25000000000,250000000,99999900000,24750100000,24750200000,24749900000,300000,247499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
43,49500647499,1000000,1/4,1/100,1000,100,123,456,none,100000000000,25000000000,250000000,99999900000,24750100000,24750200000,24749900000,300000,247499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
44,49500647499,1000000,1/4,1/100,1000,100,8191,8191,none,100000000000,25000000000,250000000,99999900000,24750100000,24750200000,24749900000,300000,247499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
45,49500600001,1000000,1/4,1/100,1000,100,1,1,repay_normalization,100000000000,25000000000,25000000000,99999900000,24750100000,24750200000,-100000,24750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
46,49500600001,1000000,1/4,1/100,1000,100,31,67,repay_normalization,100000000000,25000000000,25000000000,99999900000,24750100000,24750200000,-100000,24750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
47,49500600001,1000000,1/4,1/100,1000,100,123,456,repay_normalization,100000000000,25000000000,25000000000,99999900000,24750100000,24750200000,-100000,24750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
48,49500600001,1000000,1/4,1/100,1000,100,8191,8191,repay_normalization,100000000000,25000000000,25000000000,99999900000,24750100000,24750200000,-100000,24750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
49,47501000003,1000000,1/4,1/20,1000,100,1,1,withdraw_normalization,100000000000,25000000000,1250000000,76249700000,23750100000,23750200000,-300000,23750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
50,47501000003,1000000,1/4,1/20,1000,100,31,67,withdraw_normalization,100000000000,25000000000,1250000000,76249700000,23750100000,23750200000,-300000,23750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
51,47501000003,1000000,1/4,1/20,1000,100,123,456,withdraw_normalization,100000000000,25000000000,1250000000,76249700000,23750100000,23750200000,-300000,23750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
52,47501000003,1000000,1/4,1/20,1000,100,8191,8191,withdraw_normalization,100000000000,25000000000,1250000000,76249700000,23750100000,23750200000,-300000,23750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
53,47500637499,1000000,1/4,1/20,1000,100,1,1,none,100000000000,25000000000,1250000000,99999900000,23750100000,23750200000,23749900000,300000,237499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
54,47500637499,1000000,1/4,1/20,1000,100,31,67,none,100000000000,25000000000,1250000000,99999900000,23750100000,23750200000,23749900000,300000,237499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
55,47500637499,1000000,1/4,1/20,1000,100,123,456,none,100000000000,25000000000,1250000000,99999900000,23750100000,23750200000,23749900000,300000,237499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
56,47500637499,1000000,1/4,1/20,1000,100,8191,8191,none,100000000000,25000000000,1250000000,99999900000,23750100000,23750200000,23749900000,300000,237499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
57,47500600001,1000000,1/4,1/20,1000,100,1,1,repay_normalization,100000000000,25000000000,25000000000,99999900000,23750100000,23750200000,-100000,23750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
58,47500600001,1000000,1/4,1/20,1000,100,31,67,repay_normalization,100000000000,25000000000,25000000000,99999900000,23750100000,23750200000,-100000,23750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
59,47500600001,1000000,1/4,1/20,1000,100,123,456,repay_normalization,100000000000,25000000000,25000000000,99999900000,23750100000,23750200000,-100000,23750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
60,47500600001,1000000,1/4,1/20,1000,100,8191,8191,repay_normalization,100000000000,25000000000,25000000000,99999900000,23750100000,23750200000,-100000,23750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
61,45001000003,1000000,1/4,1/10,1000,100,1,1,withdraw_normalization,100000000000,25000000000,2500000000,77499700000,22500100000,22500200000,-300000,22500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
62,45001000003,1000000,1/4,1/10,1000,100,31,67,withdraw_normalization,100000000000,25000000000,2500000000,77499700000,22500100000,22500200000,-300000,22500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
63,45001000003,1000000,1/4,1/10,1000,100,123,456,withdraw_normalization,100000000000,25000000000,2500000000,77499700000,22500100000,22500200000,-300000,22500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
64,45001000003,1000000,1/4,1/10,1000,100,8191,8191,withdraw_normalization,100000000000,25000000000,2500000000,77499700000,22500100000,22500200000,-300000,22500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
65,45000624999,1000000,1/4,1/10,1000,100,1,1,none,100000000000,25000000000,2500000000,99999900000,22500100000,22500200000,22499900000,300000,224999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
66,45000624999,1000000,1/4,1/10,1000,100,31,67,none,100000000000,25000000000,2500000000,99999900000,22500100000,22500200000,22499900000,300000,224999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
67,45000624999,1000000,1/4,1/10,1000,100,123,456,none,100000000000,25000000000,2500000000,99999900000,22500100000,22500200000,22499900000,300000,224999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
68,45000624999,1000000,1/4,1/10,1000,100,8191,8191,none,100000000000,25000000000,2500000000,99999900000,22500100000,22500200000,22499900000,300000,224999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
69,45000600001,1000000,1/4,1/10,1000,100,1,1,repay_normalization,100000000000,25000000000,25000000000,99999900000,22500100000,22500200000,-100000,22500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
70,45000600001,1000000,1/4,1/10,1000,100,31,67,repay_normalization,100000000000,25000000000,25000000000,99999900000,22500100000,22500200000,-100000,22500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
71,45000600001,1000000,1/4,1/10,1000,100,123,456,repay_normalization,100000000000,25000000000,25000000000,99999900000,22500100000,22500200000,-100000,22500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
72,45000600001,1000000,1/4,1/10,1000,100,8191,8191,repay_normalization,100000000000,25000000000,25000000000,99999900000,22500100000,22500200000,-100000,22500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
73,37501000003,1000000,1/4,1/4,1000,100,1,1,withdraw_normalization,100000000000,25000000000,6250000000,81249700000,18750100000,18750200000,-300000,18750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
74,37501000003,1000000,1/4,1/4,1000,100,31,67,withdraw_normalization,100000000000,25000000000,6250000000,81249700000,18750100000,18750200000,-300000,18750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
75,37501000003,1000000,1/4,1/4,1000,100,123,456,withdraw_normalization,100000000000,25000000000,6250000000,81249700000,18750100000,18750200000,-300000,18750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
76,37501000003,1000000,1/4,1/4,1000,100,8191,8191,withdraw_normalization,100000000000,25000000000,6250000000,81249700000,18750100000,18750200000,-300000,18750500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
77,37500600001,1000000,1/4,1/4,1000,100,1,1,repay_normalization,100000000000,25000000000,25000000000,99999900000,18750100000,18750200000,-100000,18750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
78,37500600001,1000000,1/4,1/4,1000,100,31,67,repay_normalization,100000000000,25000000000,25000000000,99999900000,18750100000,18750200000,-100000,18750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
79,37500600001,1000000,1/4,1/4,1000,100,123,456,repay_normalization,100000000000,25000000000,25000000000,99999900000,18750100000,18750200000,-100000,18750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
80,37500600001,1000000,1/4,1/4,1000,100,8191,8191,repay_normalization,100000000000,25000000000,25000000000,99999900000,18750100000,18750200000,-100000,18750300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
81,37500587499,1000000,1/4,1/4,1000,100,1,1,none,100000000000,25000000000,6250000000,99999900000,18750100000,18750200000,18749900000,300000,187499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
82,37500587499,1000000,1/4,1/4,1000,100,31,67,none,100000000000,25000000000,6250000000,99999900000,18750100000,18750200000,18749900000,300000,187499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
83,37500587499,1000000,1/4,1/4,1000,100,123,456,none,100000000000,25000000000,6250000000,99999900000,18750100000,18750200000,18749900000,300000,187499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
84,37500587499,1000000,1/4,1/4,1000,100,8191,8191,none,100000000000,25000000000,6250000000,99999900000,18750100000,18750200000,18749900000,300000,187499,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
85,25001000003,1000000,1/4,1/2,1000,100,1,1,withdraw_normalization,100000000000,25000000000,12500000000,87499700000,12500100000,12500200000,-300000,12500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
86,25001000003,1000000,1/4,1/2,1000,100,31,67,withdraw_normalization,100000000000,25000000000,12500000000,87499700000,12500100000,12500200000,-300000,12500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
87,25001000003,1000000,1/4,1/2,1000,100,123,456,withdraw_normalization,100000000000,25000000000,12500000000,87499700000,12500100000,12500200000,-300000,12500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
88,25001000003,1000000,1/4,1/2,1000,100,8191,8191,withdraw_normalization,100000000000,25000000000,12500000000,87499700000,12500100000,12500200000,-300000,12500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
89,25000600001,1000000,1/4,1/2,1000,100,1,1,repay_normalization,100000000000,25000000000,25000000000,99999900000,12500100000,12500200000,-100000,12500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
90,25000600001,1000000,1/4,1/2,1000,100,31,67,repay_normalization,100000000000,25000000000,25000000000,99999900000,12500100000,12500200000,-100000,12500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
91,25000600001,1000000,1/4,1/2,1000,100,123,456,repay_normalization,100000000000,25000000000,25000000000,99999900000,12500100000,12500200000,-100000,12500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
92,25000600001,1000000,1/4,1/2,1000,100,8191,8191,repay_normalization,100000000000,25000000000,25000000000,99999900000,12500100000,12500200000,-100000,12500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
93,25000524999,1000000,1/4,1/2,1000,100,1,1,none,100000000000,25000000000,12500000000,99999900000,12500100000,12500200000,12499900000,300000,124999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
94,25000524999,1000000,1/4,1/2,1000,100,31,67,none,100000000000,25000000000,12500000000,99999900000,12500100000,12500200000,12499900000,300000,124999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
95,25000524999,1000000,1/4,1/2,1000,100,123,456,none,100000000000,25000000000,12500000000,99999900000,12500100000,12500200000,12499900000,300000,124999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
96,25000524999,1000000,1/4,1/2,1000,100,8191,8191,none,100000000000,25000000000,12500000000,99999900000,12500100000,12500200000,12499900000,300000,124999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
97,24750594999,1000000,1/2,1/100,1000,25,1,1,none,25000000000,12500000000,125000000,24999975000,12375025000,12375050000,12374975000,75000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
98,24750594999,1000000,1/2,1/100,1000,25,31,67,none,25000000000,12500000000,125000000,24999975000,12375025000,12375050000,12374975000,75000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
99,24750594999,1000000,1/2,1/100,1000,25,123,456,none,25000000000,12500000000,125000000,24999975000,12375025000,12375050000,12374975000,75000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
100,24750594999,1000000,1/2,1/100,1000,25,8191,8191,none,25000000000,12500000000,125000000,24999975000,12375025000,12375050000,12374975000,75000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
