rank,rank_score,simplicity_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,minimal_repro_candidate,reason
1,969098,11102,100,99/100,1/100,1,1,1,1,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
2,969002,11198,100,99/100,1/100,1,1,31,67,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
3,968521,11679,100,99/100,1/100,1,1,123,456,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
4,952718,27482,100,99/100,1/100,1,1,8191,8191,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
5,929092,11102,100,99/100,1/20,1,1,1,1,loose,100,99,4,99,0,0,96,97,94,3,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
6,929090,11102,100,19/20,1/100,1,1,1,1,loose,100,95,0,99,0,0,95,96,94,2,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
7,928996,11198,100,99/100,1/20,1,1,31,67,loose,100,99,4,99,0,0,96,97,94,3,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
8,928994,11198,100,19/20,1/100,1,1,31,67,loose,100,95,0,99,0,0,95,96,94,2,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
9,928515,11679,100,99/100,1/20,1,1,123,456,loose,100,99,4,99,0,0,96,97,94,3,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
10,928513,11679,100,19/20,1/100,1,1,123,456,loose,100,95,0,99,0,0,95,96,94,2,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
11,912712,27482,100,99/100,1/20,1,1,8191,8191,loose,100,99,4,99,0,0,96,97,94,3,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
12,912710,27482,100,19/20,1/100,1,1,8191,8191,loose,100,95,0,99,0,0,95,96,94,2,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
13,889084,11102,100,19/20,1/20,1,1,1,1,loose,100,95,4,99,0,0,92,93,90,3,900000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
14,888988,11198,100,19/20,1/20,1,1,31,67,loose,100,95,4,99,0,0,92,93,90,3,900000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
15,888507,11679,100,19/20,1/20,1,1,123,456,loose,100,95,4,99,0,0,92,93,90,3,900000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
16,879082,11102,100,99/100,1/10,1,1,1,1,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
17,879080,11102,100,9/10,1/100,1,1,1,1,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
18,879080,11102,100,9/10,1/100,1,1,1,1,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
19,878986,11198,100,99/100,1/10,1,1,31,67,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
20,878984,11198,100,9/10,1/100,1,1,31,67,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
21,878984,11198,100,9/10,1/100,1,1,31,67,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
22,878505,11679,100,99/100,1/10,1,1,123,456,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
23,878503,11679,100,9/10,1/100,1,1,123,456,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
24,878503,11679,100,9/10,1/100,1,1,123,456,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
25,872704,27482,100,19/20,1/20,1,1,8191,8191,loose,100,95,4,99,0,0,92,93,90,3,900000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
26,862702,27482,100,99/100,1/10,1,1,8191,8191,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
27,862700,27482,100,9/10,1/100,1,1,8191,8191,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
28,862700,27482,100,9/10,1/100,1,1,8191,8191,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
29,839074,11102,100,9/10,1/20,1,1,1,1,loose,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
30,839074,11102,100,9/10,1/20,1,1,1,1,health_checked,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
31,839074,11102,100,19/20,1/10,1,1,1,1,loose,100,95,9,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
32,838978,11198,100,9/10,1/20,1,1,31,67,loose,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
33,838978,11198,100,9/10,1/20,1,1,31,67,health_checked,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
34,838978,11198,100,19/20,1/10,1,1,31,67,loose,100,95,9,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
35,838497,11679,100,9/10,1/20,1,1,123,456,loose,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
36,838497,11679,100,9/10,1/20,1,1,123,456,health_checked,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
37,838497,11679,100,19/20,1/10,1,1,123,456,loose,100,95,9,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
38,822694,27482,100,9/10,1/20,1,1,8191,8191,loose,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
39,822694,27482,100,9/10,1/20,1,1,8191,8191,health_checked,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
40,822694,27482,100,19/20,1/10,1,1,8191,8191,loose,100,95,9,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
41,789064,11102,100,9/10,1/10,1,1,1,1,loose,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
42,789064,11102,100,9/10,1/10,1,1,1,1,health_checked,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
43,788968,11198,100,9/10,1/10,1,1,31,67,loose,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
44,788968,11198,100,9/10,1/10,1,1,31,67,health_checked,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
45,788487,11679,100,9/10,1/10,1,1,123,456,loose,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
46,788487,11679,100,9/10,1/10,1,1,123,456,health_checked,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
47,772684,27482,100,9/10,1/10,1,1,8191,8191,loose,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
48,772684,27482,100,9/10,1/10,1,1,8191,8191,health_checked,100,90,9,99,0,0,82,83,80,3,800000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
49,729052,11102,100,99/100,1/4,1,1,1,1,loose,100,99,24,99,0,0,76,77,74,3,740000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
50,729050,11102,100,3/4,1/100,1,1,1,1,loose,100,75,0,99,0,0,75,76,74,2,740000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
