rank,rank_score,flow_type,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,value_ratio_ppm,healthy_pass,pathological_signal,false_positive_risk,reason
1,5000501000,pathological_control,10000000,2/3,1/4,25,10,1,1,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
2,5000501000,pathological_control,10000000,2/3,1/4,25,10,31,67,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
3,5000501000,pathological_control,10000000,2/3,1/4,25,10,123,456,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
4,5000501000,pathological_control,10000000,2/3,1/4,25,10,8191,8191,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
5,5000438500,pathological_control,10000000,3/4,1/4,25,10,1,1,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
6,5000438500,pathological_control,10000000,3/4,1/4,25,10,31,67,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
7,5000438500,pathological_control,10000000,3/4,1/4,25,10,123,456,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
8,5000438500,pathological_control,10000000,3/4,1/4,25,10,8191,8191,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
9,5000401000,pathological_control,10000000,2/3,1/10,25,10,1,1,full_protocol_guard,2500000000,1666666500,166666500,0,0,250,1500000250,1500000500,-1000000000,2500000500,400000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
10,5000401000,pathological_control,10000000,2/3,1/10,25,10,31,67,full_protocol_guard,2500000000,1666666500,166666500,0,0,250,1500000250,1500000500,-1000000000,2500000500,400000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
11,5000401000,pathological_control,10000000,2/3,1/10,25,10,123,456,full_protocol_guard,2500000000,1666666500,166666500,0,0,250,1500000250,1500000500,-1000000000,2500000500,400000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
12,5000401000,pathological_control,10000000,2/3,1/10,25,10,8191,8191,full_protocol_guard,2500000000,1666666500,166666500,0,0,250,1500000250,1500000500,-1000000000,2500000500,400000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
13,5000367666,pathological_control,10000000,2/3,1/20,25,10,1,1,full_protocol_guard,2500000000,1666666500,83333250,0,0,250,1583333500,1583333750,-916666750,2500000500,366666,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
14,5000367666,pathological_control,10000000,2/3,1/20,25,10,31,67,full_protocol_guard,2500000000,1666666500,83333250,0,0,250,1583333500,1583333750,-916666750,2500000500,366666,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
15,5000367666,pathological_control,10000000,2/3,1/20,25,10,123,456,full_protocol_guard,2500000000,1666666500,83333250,0,0,250,1583333500,1583333750,-916666750,2500000500,366666,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
16,5000367666,pathological_control,10000000,2/3,1/20,25,10,8191,8191,full_protocol_guard,2500000000,1666666500,83333250,0,0,250,1583333500,1583333750,-916666750,2500000500,366666,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
17,5000341000,pathological_control,10000000,2/3,1/100,25,10,1,1,full_protocol_guard,2500000000,1666666500,16666500,0,0,250,1650000250,1650000500,-850000000,2500000500,340000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
18,5000341000,pathological_control,10000000,2/3,1/100,25,10,31,67,full_protocol_guard,2500000000,1666666500,16666500,0,0,250,1650000250,1650000500,-850000000,2500000500,340000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
19,5000341000,pathological_control,10000000,2/3,1/100,25,10,123,456,full_protocol_guard,2500000000,1666666500,16666500,0,0,250,1650000250,1650000500,-850000000,2500000500,340000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
20,5000341000,pathological_control,10000000,2/3,1/100,25,10,8191,8191,full_protocol_guard,2500000000,1666666500,16666500,0,0,250,1650000250,1650000500,-850000000,2500000500,340000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
21,5000326000,pathological_control,10000000,3/4,1/10,25,10,1,1,full_protocol_guard,2500000000,1875000000,187500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
22,5000326000,pathological_control,10000000,3/4,1/10,25,10,31,67,full_protocol_guard,2500000000,1875000000,187500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
23,5000326000,pathological_control,10000000,3/4,1/10,25,10,123,456,full_protocol_guard,2500000000,1875000000,187500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
24,5000326000,pathological_control,10000000,3/4,1/10,25,10,8191,8191,full_protocol_guard,2500000000,1875000000,187500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
25,5000326000,pathological_control,10000000,9/10,1/4,25,10,1,1,full_protocol_guard,2500000000,2250000000,562500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
26,5000326000,pathological_control,10000000,9/10,1/4,25,10,31,67,full_protocol_guard,2500000000,2250000000,562500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
27,5000326000,pathological_control,10000000,9/10,1/4,25,10,123,456,full_protocol_guard,2500000000,2250000000,562500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
28,5000326000,pathological_control,10000000,9/10,1/4,25,10,8191,8191,full_protocol_guard,2500000000,2250000000,562500000,0,0,250,1687500250,1687500500,-812500000,2500000500,325000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
29,5000288500,pathological_control,10000000,3/4,1/20,25,10,1,1,full_protocol_guard,2500000000,1875000000,93750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
30,5000288500,pathological_control,10000000,3/4,1/20,25,10,31,67,full_protocol_guard,2500000000,1875000000,93750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
31,5000288500,pathological_control,10000000,3/4,1/20,25,10,123,456,full_protocol_guard,2500000000,1875000000,93750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
32,5000288500,pathological_control,10000000,3/4,1/20,25,10,8191,8191,full_protocol_guard,2500000000,1875000000,93750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
33,5000288500,pathological_control,10000000,19/20,1/4,25,10,1,1,full_protocol_guard,2500000000,2375000000,593750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
34,5000288500,pathological_control,10000000,19/20,1/4,25,10,31,67,full_protocol_guard,2500000000,2375000000,593750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
35,5000288500,pathological_control,10000000,19/20,1/4,25,10,123,456,full_protocol_guard,2500000000,2375000000,593750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
36,5000288500,pathological_control,10000000,19/20,1/4,25,10,8191,8191,full_protocol_guard,2500000000,2375000000,593750000,0,0,250,1781250250,1781250500,-718750000,2500000500,287500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
37,5000258500,pathological_control,10000000,3/4,1/100,25,10,1,1,full_protocol_guard,2500000000,1875000000,18750000,0,0,250,1856250250,1856250500,-643750000,2500000500,257500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
38,5000258500,pathological_control,10000000,3/4,1/100,25,10,31,67,full_protocol_guard,2500000000,1875000000,18750000,0,0,250,1856250250,1856250500,-643750000,2500000500,257500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
39,5000258500,pathological_control,10000000,3/4,1/100,25,10,123,456,full_protocol_guard,2500000000,1875000000,18750000,0,0,250,1856250250,1856250500,-643750000,2500000500,257500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
40,5000258500,pathological_control,10000000,3/4,1/100,25,10,8191,8191,full_protocol_guard,2500000000,1875000000,18750000,0,0,250,1856250250,1856250500,-643750000,2500000500,257500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
41,5000191000,pathological_control,10000000,9/10,1/10,25,10,1,1,full_protocol_guard,2500000000,2250000000,225000000,0,0,250,2025000250,2025000500,-475000000,2500000500,190000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
42,5000191000,pathological_control,10000000,9/10,1/10,25,10,31,67,full_protocol_guard,2500000000,2250000000,225000000,0,0,250,2025000250,2025000500,-475000000,2500000500,190000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
43,5000191000,pathological_control,10000000,9/10,1/10,25,10,123,456,full_protocol_guard,2500000000,2250000000,225000000,0,0,250,2025000250,2025000500,-475000000,2500000500,190000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
44,5000191000,pathological_control,10000000,9/10,1/10,25,10,8191,8191,full_protocol_guard,2500000000,2250000000,225000000,0,0,250,2025000250,2025000500,-475000000,2500000500,190000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
45,5000146000,pathological_control,10000000,9/10,1/20,25,10,1,1,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
46,5000146000,pathological_control,10000000,9/10,1/20,25,10,31,67,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
47,5000146000,pathological_control,10000000,9/10,1/20,25,10,123,456,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
48,5000146000,pathological_control,10000000,9/10,1/20,25,10,8191,8191,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
