rank,rank_score,flow_type,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,value_ratio_ppm,healthy_pass,pathological_signal,false_positive_risk,reason
49,5000146000,pathological_control,10000000,19/20,1/10,25,10,1,1,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
50,5000146000,pathological_control,10000000,19/20,1/10,25,10,31,67,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
51,5000146000,pathological_control,10000000,19/20,1/10,25,10,123,456,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
52,5000146000,pathological_control,10000000,19/20,1/10,25,10,8191,8191,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
53,5000110000,pathological_control,10000000,9/10,1/100,25,10,1,1,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
54,5000110000,pathological_control,10000000,9/10,1/100,25,10,31,67,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
55,5000110000,pathological_control,10000000,9/10,1/100,25,10,123,456,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
56,5000110000,pathological_control,10000000,9/10,1/100,25,10,8191,8191,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
57,5000098500,pathological_control,10000000,19/20,1/20,25,10,1,1,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
58,5000098500,pathological_control,10000000,19/20,1/20,25,10,31,67,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
59,5000098500,pathological_control,10000000,19/20,1/20,25,10,123,456,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
60,5000098500,pathological_control,10000000,19/20,1/20,25,10,8191,8191,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
61,5000060500,pathological_control,10000000,19/20,1/100,25,10,1,1,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
62,5000060500,pathological_control,10000000,19/20,1/100,25,10,31,67,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
63,5000060500,pathological_control,10000000,19/20,1/100,25,10,123,456,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
64,5000060500,pathological_control,10000000,19/20,1/100,25,10,8191,8191,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
65,4901481099,pathological_control,10000000,99/100,1/100,25,10,1,1,loose,2500000000,2475000000,24750000,2499999750,0,0,2450250250,2450250500,2450249750,750,980099,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
66,4901481099,pathological_control,10000000,99/100,1/100,25,10,31,67,loose,2500000000,2475000000,24750000,2499999750,0,0,2450250250,2450250500,2450249750,750,980099,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
67,4901481099,pathological_control,10000000,99/100,1/100,25,10,123,456,loose,2500000000,2475000000,24750000,2499999750,0,0,2450250250,2450250500,2450249750,750,980099,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
68,4901481099,pathological_control,10000000,99/100,1/100,25,10,8191,8191,loose,2500000000,2475000000,24750000,2499999750,0,0,2450250250,2450250500,2450249750,750,980099,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
69,4900502500,pathological_control,10000000,99/100,1/100,25,10,1,1,withdraw_guarded,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
70,4900502500,pathological_control,10000000,99/100,1/100,25,10,1,1,repay_required_before_withdraw,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
71,4900502500,pathological_control,10000000,99/100,1/100,25,10,31,67,withdraw_guarded,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
72,4900502500,pathological_control,10000000,99/100,1/100,25,10,31,67,repay_required_before_withdraw,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
73,4900502500,pathological_control,10000000,99/100,1/100,25,10,123,456,withdraw_guarded,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
74,4900502500,pathological_control,10000000,99/100,1/100,25,10,123,456,repay_required_before_withdraw,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
75,4900502500,pathological_control,10000000,99/100,1/100,25,10,8191,8191,withdraw_guarded,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
76,4900502500,pathological_control,10000000,99/100,1/100,25,10,8191,8191,repay_required_before_withdraw,2500000000,2475000000,24750000,49749250,0,0,2450250250,2450250500,-750,2450251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
77,4703441499,pathological_control,10000000,19/20,1/100,25,10,1,1,loose,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
78,4703441499,pathological_control,10000000,19/20,1/100,25,10,1,1,health_checked,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
79,4703441499,pathological_control,10000000,19/20,1/100,25,10,31,67,loose,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
80,4703441499,pathological_control,10000000,19/20,1/100,25,10,31,67,health_checked,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
81,4703441499,pathological_control,10000000,19/20,1/100,25,10,123,456,loose,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
82,4703441499,pathological_control,10000000,19/20,1/100,25,10,123,456,health_checked,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
83,4703441499,pathological_control,10000000,19/20,1/100,25,10,8191,8191,loose,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
84,4703441499,pathological_control,10000000,19/20,1/100,25,10,8191,8191,health_checked,2500000000,2375000000,23750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
85,4703441499,pathological_control,10000000,99/100,1/20,25,10,1,1,loose,2500000000,2475000000,123750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
86,4703441499,pathological_control,10000000,99/100,1/20,25,10,31,67,loose,2500000000,2475000000,123750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
87,4703441499,pathological_control,10000000,99/100,1/20,25,10,123,456,loose,2500000000,2475000000,123750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
88,4703441499,pathological_control,10000000,99/100,1/20,25,10,8191,8191,loose,2500000000,2475000000,123750000,2499999750,0,0,2351250250,2351250500,2351249750,750,940499,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
89,4702502500,pathological_control,10000000,19/20,1/100,25,10,1,1,withdraw_guarded,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
90,4702502500,pathological_control,10000000,19/20,1/100,25,10,1,1,repay_required_before_withdraw,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
91,4702502500,pathological_control,10000000,19/20,1/100,25,10,31,67,withdraw_guarded,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
92,4702502500,pathological_control,10000000,19/20,1/100,25,10,31,67,repay_required_before_withdraw,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
93,4702502500,pathological_control,10000000,19/20,1/100,25,10,123,456,withdraw_guarded,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
94,4702502500,pathological_control,10000000,19/20,1/100,25,10,123,456,repay_required_before_withdraw,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
95,4702502500,pathological_control,10000000,19/20,1/100,25,10,8191,8191,withdraw_guarded,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
96,4702502500,pathological_control,10000000,19/20,1/100,25,10,8191,8191,repay_required_before_withdraw,2500000000,2375000000,23750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
97,4702502500,pathological_control,10000000,99/100,1/20,25,10,1,1,withdraw_guarded,2500000000,2475000000,123750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
98,4702502500,pathological_control,10000000,99/100,1/20,25,10,1,1,repay_required_before_withdraw,2500000000,2475000000,123750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
99,4702502500,pathological_control,10000000,99/100,1/20,25,10,31,67,withdraw_guarded,2500000000,2475000000,123750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
100,4702502500,pathological_control,10000000,99/100,1/20,25,10,31,67,repay_required_before_withdraw,2500000000,2475000000,123750000,148749250,0,0,2351250250,2351250500,-750,2351251250,0,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
